,Born,Raised,Residence,Transportation,Commute,Family,Area,Batch,province,region
49,Chitwan,Kathmandu,Kapan,Public,20,5,North East,24C,Province 3,Terai
50,Lalitpur,Kathmandu,Asan,Scooter,15,3,South,24C,Province 3,Hilly
51,Kathmandu,Lalitpur,Sanepa,Scooter,15,3,South,24C,Province 3,Hilly
52,Kathmandu,Kathmandu,Jorpati,Public,30,5,North East,24C,Province 3,Hilly
53,Morang,Kathmandu,New Baneshwor,Scooter,10,4,East,24C,Province 2,Terai
54,Kathmandu,Kathmandu,Sukedhara,Motorbike,10,4,North,24C,Province 3,Hilly
55,Kathmandu,Kathmandu,Dhumbarahi ,Scooter,10,5,North West,24C,Province 3,Hilly
56,Kathmandu,Kathmandu,Gausala,Public,20,5,East,25C,Province 3,Hilly
57,Kathmandu,Kathmandu,Samakhusi,Motorbike,15,5,North,25C,Province 3,Hilly
58,Bhaktapur,Bhaktapur,Changunaryan,Motorbike,25,4,East,25C,Province 3,Hilly
59,Sunsari,Sunsari,Gothatar,Public,50,4,East,25C,Province 2,Terai
